phecode,study_accession
274.1,GCST001790
714.1,GCST002323
714.1,GCST002318
714.1,GCST005569
714.1,GCST000917
714.1,GCST000679
714.1,GCST000420
714.1,GCST000232
714.1,GCST000070
714.1,GCST000040
335,GCST005531
335,GCST001505
335,GCST001341
335,GCST001198
335,GCST001096
335,GCST000424
335,GCST000425
185,GCST003586
185,GCST002944
185,GCST002890
185,GCST002606
185,GCST006085
185,GCST002421
185,GCST001942
185,GCST001719
185,GCST001714
185,GCST001148
185,GCST001147
185,GCST000488
185,GCST000489
185,GCST000307
185,GCST000153
185,GCST000152
185,GCST000154
185,GCST000050
185,GCST000019
185,GCST000017
427.21,GCST004295
427.21,GCST006061
427.21,GCST005306
427.21,GCST001499
427.21,GCST000602
427.21,GCST000446
290.11,GCST004246
290.11,GCST005549
290.11,GCST002245
290.11,GCST001025
290.11,GCST001026
290.11,GCST006121
290.11,GCST002422
290.11,GCST001743
290.11,GCST001449
290.11,GCST000986
290.11,GCST000980
290.11,GCST000480
290.11,GCST000479
290.11,GCST000237
250.1,GCST001255
250.1,GCST001191
250.1,GCST000539
250.1,GCST000392
250.1,GCST000258
250.1,GCST000244
250.1,GCST000141
250.1,GCST000054
250.1,GCST000043
250.1,GCST000038
172.11,GCST004142
172.11,GCST002514
172.11,GCST001886
172.11,GCST001266
172.11,GCST001267
172.11,GCST001245
172.11,GCST001129
172.11,GCST000437
172.11,GCST000198
244,GCST003988
244,GCST001474
411.2,GCST000030
411.2,GCST003117
364.5,GCST004217
362.21,GCST003219
362.21,GCST004868
362.21,GCST001884
362.21,GCST001814
362.21,GCST001100
362.21,GCST000652
272.11,GCST004209
272.11,GCST003663
272.11,GCST002896
272.11,GCST002221
272.11,GCST000760
272.11,GCST000285
250.2,GCST004773
250.2,GCST004774
250.2,GCST005716
250.2,GCST003619
250.2,GCST005414
250.2,GCST005898
250.2,GCST005899
250.2,GCST005413
250.2,GCST004894
250.2,GCST002352
250.2,GCST001759
250.2,GCST005047
250.2,GCST001397
250.2,GCST001326
250.2,GCST000712
250.2,GCST000665
250.2,GCST000277
250.2,GCST000167
250.2,GCST000047
250.2,GCST000025
250.2,GCST000027
250.2,GCST000024
250.2,GCST000028
272.12,GCST003661
272.12,GCST002897
272.12,GCST002216
272.12,GCST002219
272.12,GCST000809
272.12,GCST000758
272.12,GCST000289
272.12,GCST000286
272.12,GCST000139
272.12,GCST000137
272.12,GCST000026